EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PI
1631709007.819300,143418.000,23469,1,PI,1,100,158729
1631709007.943542,143542.000,23483,2,PI,1,100,158782
1631709008.067785,143666.000,23483,2,PI,1,100,158787
1631709008.100349,143698.500,23502,2,PI,1,100,158805
1631709008.132912,143731.000,23502,2,PI,1,100,158847
1631709008.176665,143774.667,23521,3,PI,1,100,158854
1631709008.220417,143818.333,23521,3,PI,1,100,158869
1631709008.264169,143862.000,23521,3,PI,1,100,158872
1631709008.301575,143899.333,23539,3,PI,1,100,158870
1631709008.338982,143936.667,23539,3,PI,1,100,158882
1631709008.376388,143974.000,23539,3,PI,1,100,158908
1631709008.417469,144015.000,23556,2,PI,1,100,158863
1631709008.458549,144056.000,23556,2,PI,1,100,158798
1631709008.496623,144094.000,23574,3,PI,1,100,158795
1631709008.534698,144132.000,23574,3,PI,1,100,158770
1631709008.572772,144170.000,23574,3,PI,1,100,158740
1631709008.613852,144211.000,23593,2,PI,1,100,158720
1631709008.654933,144252.000,23593,2,PI,1,100,158701
1631709008.692673,144289.667,23611,3,PI,1,100,158718
1631709008.730413,144327.333,23611,3,PI,1,100,158721
1631709008.768154,144365.000,23611,3,PI,1,100,158744
1631709008.806562,144403.333,23628,3,PI,1,100,158748
1631709008.844971,144441.667,23628,3,PI,1,100,158769
1631709008.883379,144480.000,23628,3,PI,1,100,158822
1631709008.924459,144521.000,23646,2,PI,1,100,158842
1631709008.965540,144562.000,23646,2,PI,1,100,158848
1631709009.004282,144600.667,23665,3,PI,1,100,158839
1631709009.043024,144639.333,23665,3,PI,1,100,158829
1631709009.081767,144678.000,23665,3,PI,1,100,158870
1631709009.119507,144715.667,23684,3,PI,1,100,158789
1631709009.157248,144753.333,23684,3,PI,1,100,158712
1631709009.194988,144791.000,23684,3,PI,1,100,158633
1631709009.236068,144832.000,23703,2,PI,1,100,158617
1631709009.277148,144873.000,23703,2,PI,1,100,158667
1631709009.314555,144910.333,23719,3,PI,1,100,158692
1631709009.351961,144947.667,23719,3,PI,1,100,158686
1631709009.389368,144985.000,23719,3,PI,1,100,158661
1631709009.430448,145026.000,23738,2,PI,1,100,158643
1631709009.471529,145067.000,23738,2,PI,1,100,158648
1631709009.509269,145104.667,23756,3,PI,1,100,158661
1631709009.547009,145142.333,23756,3,PI,1,100,158667
1631709009.584750,145180.000,23756,3,PI,1,100,158657
1631709009.623826,145219.000,23775,3,PI,1,100,158700
1631709009.662902,145258.000,23775,3,PI,1,100,158704
1631709009.701979,145297.000,23775,3,PI,1,100,158706
1631709009.742558,145337.500,23791,2,PI,1,100,158685
1631709009.783137,145378.000,23791,2,PI,1,100,158644
1631709009.821880,145416.667,23810,3,PI,1,100,158638
1631709009.860622,145455.333,23810,3,PI,1,100,158597
1631709009.899364,145494.000,23810,3,PI,1,100,158599
1631709009.939443,145534.000,23828,2,PI,1,100,158602
1631709009.979521,145574.000,23828,2,PI,1,100,158598
