EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1631709007.819300,143418.000,23470,1,PR,1,100,121137
1631709007.943542,143542.000,23484,2,PR,1,100,121195
1631709008.067785,143666.000,23484,2,PR,1,100,121181
1631709008.100349,143698.500,23503,2,PR,1,100,121192
1631709008.132912,143731.000,23503,2,PR,1,100,121213
1631709008.176665,143774.667,23522,3,PR,1,100,121208
1631709008.220417,143818.333,23522,3,PR,1,100,121197
1631709008.264169,143862.000,23522,3,PR,1,100,121226
1631709008.301575,143899.333,23540,3,PR,1,100,121218
1631709008.338982,143936.667,23540,3,PR,1,100,121228
1631709008.376388,143974.000,23540,3,PR,1,100,121231
1631709008.417469,144015.000,23557,2,PR,1,100,121203
1631709008.458549,144056.000,23557,2,PR,1,100,121204
1631709008.496623,144094.000,23575,3,PR,1,100,121201
1631709008.534698,144132.000,23575,3,PR,1,100,121194
1631709008.572772,144170.000,23575,3,PR,1,100,121164
1631709008.613852,144211.000,23594,2,PR,1,100,121158
1631709008.654933,144252.000,23594,2,PR,1,100,121150
1631709008.692673,144289.667,23612,3,PR,1,100,121135
1631709008.730413,144327.333,23612,3,PR,1,100,121126
1631709008.768154,144365.000,23612,3,PR,1,100,121113
1631709008.806562,144403.333,23629,3,PR,1,100,121124
1631709008.844971,144441.667,23629,3,PR,1,100,121145
1631709008.883379,144480.000,23629,3,PR,1,100,121154
1631709008.924459,144521.000,23647,2,PR,1,100,121154
1631709008.965540,144562.000,23647,2,PR,1,100,121143
1631709009.004282,144600.667,23666,3,PR,1,100,121139
1631709009.043024,144639.333,23666,3,PR,1,100,121152
1631709009.081767,144678.000,23666,3,PR,1,100,121171
1631709009.119507,144715.667,23685,3,PR,1,100,121139
1631709009.157248,144753.333,23685,3,PR,1,100,121097
1631709009.194988,144791.000,23685,3,PR,1,100,121070
1631709009.236068,144832.000,23704,2,PR,1,100,121059
1631709009.277148,144873.000,23704,2,PR,1,100,121064
1631709009.314555,144910.333,23720,3,PR,1,100,121073
1631709009.351961,144947.667,23720,3,PR,1,100,121069
1631709009.389368,144985.000,23720,3,PR,1,100,121085
1631709009.430448,145026.000,23739,2,PR,1,100,121066
1631709009.471529,145067.000,23739,2,PR,1,100,121048
1631709009.509269,145104.667,23757,3,PR,1,100,121045
1631709009.547009,145142.333,23757,3,PR,1,100,121037
1631709009.584750,145180.000,23757,3,PR,1,100,121048
1631709009.623826,145219.000,23776,3,PR,1,100,121053
1631709009.662902,145258.000,23776,3,PR,1,100,121066
1631709009.701979,145297.000,23776,3,PR,1,100,121068
1631709009.742558,145337.500,23792,2,PR,1,100,121031
1631709009.783137,145378.000,23792,2,PR,1,100,121038
1631709009.821880,145416.667,23811,3,PR,1,100,121031
1631709009.860622,145455.333,23811,3,PR,1,100,121030
1631709009.899364,145494.000,23811,3,PR,1,100,121025
1631709009.939443,145534.000,23829,2,PR,1,100,120994
1631709009.979521,145574.000,23829,2,PR,1,100,121004
1631709010.017930,145612.333,23849,3,PR,1,100,121003
1631709010.056338,145650.667,23849,3,PR,1,100,121014
1631709010.094746,145689.000,23849,3,PR,1,100,121004
1631709010.135326,145729.500,23867,2,PR,1,100,120989
1631709010.175905,145770.000,23867,2,PR,1,100,120983
1631709010.214647,145808.667,23884,3,PR,1,100,120989
1631709010.253390,145847.333,23884,3,PR,1,100,121006
1631709010.292132,145886.000,23884,3,PR,1,100,121000
1631709010.332211,145926.000,23902,2,PR,1,100,120981
1631709010.372289,145966.000,23902,2,PR,1,100,120990
1631709010.410697,146004.333,23921,3,PR,1,100,121005
1631709010.449106,146042.667,23921,3,PR,1,100,120995
1631709010.487514,146081.000,23921,3,PR,1,100,120987
1631709010.530932,146124.333,23939,3,PR,1,100,120973
1631709010.574350,146167.667,23939,3,PR,1,100,120994
1631709010.617769,146211.000,23939,3,PR,1,100,120992
1631709010.650332,146243.500,23956,2,PR,1,100,120986
1631709010.682896,146276.000,23956,2,PR,1,100,120970
1631709010.726648,146319.667,23974,3,PR,1,100,120979
1631709010.770400,146363.333,23974,3,PR,1,100,120992
1631709010.814152,146407.000,23974,3,PR,1,100,120998
1631709010.847217,146440.000,23993,2,PR,1,100,120998
1631709010.880281,146473.000,23993,2,PR,1,100,120976
1631709010.923700,146516.333,24011,3,PR,1,100,120992
1631709010.967118,146559.667,24011,3,PR,1,100,120980
1631709011.010536,146603.000,24011,3,PR,1,100,120992
1631709011.043601,146636.000,24031,2,PR,1,100,120986
1631709011.076665,146669.000,24031,2,PR,1,100,120972
1631709011.120083,146712.333,24047,3,PR,1,100,120970
1631709011.163502,146755.667,24047,3,PR,1,100,120949
1631709011.206920,146799.000,24047,3,PR,1,100,120961
1631709011.244994,146837.000,24066,3,PR,1,100,120967
1631709011.283069,146875.000,24066,3,PR,1,100,120953
1631709011.321143,146913.000,24066,3,PR,1,100,120982
1631709011.362223,146954.000,24084,2,PR,1,100,120980
1631709011.403304,146995.000,24084,2,PR,1,100,120987
1631709011.441378,147033.000,24103,3,PR,1,100,120985
1631709011.479452,147071.000,24103,3,PR,1,100,120964
1631709011.517527,147109.000,24103,3,PR,1,100,120996
1631709011.558607,147150.000,24119,2,PR,1,100,121001
1631709011.599687,147191.000,24119,2,PR,1,100,121016
1631709011.638096,147229.333,24138,3,PR,1,100,121015
1631709011.676504,147267.667,24138,3,PR,1,100,121006
1631709011.714913,147306.000,24138,3,PR,1,100,121029
1631709011.752987,147344.000,24156,3,PR,1,100,121023
1631709011.791061,147382.000,24156,3,PR,1,100,121026
1631709011.829136,147420.000,24156,3,PR,1,100,121030
1631709011.870216,147461.000,24175,2,PR,1,100,121017
1631709011.911296,147502.000,24175,2,PR,1,100,121018
1631709011.949037,147539.667,24191,3,PR,1,100,121018
1631709011.986777,147577.333,24191,3,PR,1,100,121010
1631709012.024518,147615.000,24191,3,PR,1,100,121023
1631709012.065598,147656.000,24211,2,PR,1,100,121012
1631709012.106678,147697.000,24211,2,PR,1,100,121011
1631709012.144753,147735.000,24229,3,PR,1,100,121019
1631709012.182827,147773.000,24229,3,PR,1,100,121029
1631709012.220901,147811.000,24229,3,PR,1,100,121032
1631709012.259310,147849.333,24248,3,PR,1,100,121034
1631709012.297718,147887.667,24248,3,PR,1,100,121040
1631709012.336127,147926.000,24248,3,PR,1,100,121044
1631709012.379879,147969.667,24269,3,PR,1,100,121055
1631709012.423631,148013.333,24269,3,PR,1,100,121055
