EpochTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,T0
1631709008.015683,143614.000,23489,1,T0,1,100,28.842
1631709008.146940,143745.000,23508,1,T0,1,100,28.869
1631709008.277194,143875.000,23527,1,T0,1,100,28.858
1631709008.406447,144004.000,23562,1,T0,1,100,28.848
1631709008.537704,144135.000,23580,1,T0,1,100,28.837
1631709008.667958,144265.000,23599,1,T0,1,100,28.875
1631709008.798213,144395.000,23634,1,T0,1,100,28.891
1631709008.929469,144526.000,23652,1,T0,1,100,28.858
1631709009.061728,144658.000,23671,1,T0,1,100,28.875
1631709009.192984,144789.000,23690,1,T0,1,100,28.837
1631709009.323239,144919.000,23725,1,T0,1,100,28.799
1631709009.452491,145048.000,23744,1,T0,1,100,28.869
1631709009.582746,145178.000,23762,1,T0,1,100,28.853
1631709009.715004,145310.000,23797,1,T0,1,100,28.826
1631709009.846261,145441.000,23816,1,T0,1,100,28.858
1631709009.976515,145571.000,23834,1,T0,1,100,28.826
1631709010.108774,145703.000,23854,1,T0,1,100,28.842
1631709010.240030,145834.000,23889,1,T0,1,100,28.848
1631709010.370285,145964.000,23907,1,T0,1,100,28.858
1631709010.500539,146094.000,23926,1,T0,1,100,28.832
1631709010.630794,146224.000,23961,1,T0,1,100,28.858
1631709010.762050,146355.000,23979,1,T0,1,100,28.810
1631709010.893307,146486.000,23998,1,T0,1,100,28.875
1631709011.023561,146616.000,24016,1,T0,1,100,28.837
1631709011.154818,146747.000,24052,1,T0,1,100,28.853
1631709011.286074,146878.000,24071,1,T0,1,100,28.826
1631709011.417331,147009.000,24089,1,T0,1,100,28.853
1631709011.547585,147139.000,24124,1,T0,1,100,28.842
1631709011.678842,147270.000,24143,1,T0,1,100,28.842
1631709011.810099,147401.000,24161,1,T0,1,100,28.837
1631709011.941355,147532.000,24196,1,T0,1,100,28.869
1631709012.070608,147661.000,24216,1,T0,1,100,28.853
1631709012.201864,147792.000,24234,1,T0,1,100,28.821
1631709012.333121,147923.000,24253,1,T0,1,100,28.832
1631709012.465379,148055.000,24274,1,T0,1,100,28.875
1631709012.595634,148185.000,24309,1,T0,1,100,28.880
1631709012.726890,148316.000,24328,1,T0,1,100,28.853
1631709012.856143,148445.000,24346,1,T0,1,100,28.880
1631709012.988401,148577.000,24382,1,T0,1,100,28.826
1631709013.118656,148707.000,24401,1,T0,1,100,28.826
1631709013.249912,148838.000,24419,1,T0,1,100,28.837
1631709013.381169,148969.000,24438,1,T0,1,100,28.832
1631709013.513427,149101.000,24473,1,T0,1,100,28.826
1631709013.643682,149231.000,24491,1,T0,1,100,28.880
1631709013.773936,149361.000,24510,1,T0,1,100,28.848
1631709013.903189,149490.000,24545,1,T0,1,100,28.848
1631709014.035447,149622.000,24564,1,T0,1,100,28.832
1631709014.165702,149752.000,24583,1,T0,1,100,28.858
1631709014.296958,149883.000,24601,1,T0,1,100,28.869
1631709014.426211,150012.000,24636,1,T0,1,100,28.810
1631709014.558470,150144.000,24655,1,T0,1,100,28.875
1631709014.688724,150274.000,24673,1,T0,1,100,28.907
1631709014.818979,150404.000,24708,1,T0,1,100,28.880
1631709014.948231,150533.000,24727,1,T0,1,100,28.848
1631709015.080490,150665.000,24746,1,T0,1,100,28.853
1631709015.211746,150796.000,24765,1,T0,1,100,28.842
1631709015.342001,150926.000,24800,1,T0,1,100,28.864
1631709015.471253,151055.000,24818,1,T0,1,100,28.869
1631709015.603512,151187.000,24837,1,T0,1,100,28.853
1631709015.734768,151318.000,24872,1,T0,1,100,28.853
1631709015.865023,151448.000,24890,1,T0,1,100,28.810
1631709015.994275,151577.000,24910,1,T0,1,100,28.858
1631709016.124530,151707.000,24928,1,T0,1,100,28.842
1631709016.256788,151839.000,24963,1,T0,1,100,28.842
1631709016.387043,151969.000,24982,1,T0,1,100,28.864
1631709016.516295,152098.000,25000,1,T0,1,100,28.869
1631709016.648554,152230.000,25035,1,T0,1,100,28.869
1631709016.779810,152361.000,25054,1,T0,1,100,28.837
1631709016.911067,152492.000,25072,1,T0,1,100,28.832
1631709017.041322,152622.000,25108,1,T0,1,100,28.858
1631709017.171576,152752.000,25127,1,T0,1,100,28.858
1631709017.302833,152883.000,25145,1,T0,1,100,28.858
1631709017.433087,153013.000,25164,1,T0,1,100,28.858
1631709017.562340,153142.000,25188,1,T0,1,100,28.842
1631709017.693596,153273.000,25206,1,T0,1,100,28.848
1631709017.825855,153405.000,25225,1,T0,1,100,28.842
1631709017.957111,153536.000,25261,1,T0,1,100,28.837
1631709018.087366,153666.000,25279,1,T0,1,100,28.842
1631709018.216618,153795.000,25298,1,T0,1,100,28.842
1631709018.348877,153927.000,25333,1,T0,1,100,28.880
1631709018.479131,154057.000,25351,1,T0,1,100,28.826
1631709018.609386,154187.000,25370,1,T0,1,100,28.842
1631709018.739640,154317.000,25388,1,T0,1,100,28.816
1631709018.871899,154449.000,25424,1,T0,1,100,28.853
1631709019.003155,154580.000,25443,1,T0,1,100,28.869
1631709019.133410,154710.000,25461,1,T0,1,100,28.858
1631709019.262663,154839.000,25496,1,T0,1,100,28.810
1631709019.393919,154970.000,25515,1,T0,1,100,28.837
1631709019.526178,155102.000,25533,1,T0,1,100,28.832
1631709019.657434,155233.000,25568,1,T0,1,100,28.816
1631709019.786687,155362.000,25587,1,T0,1,100,28.826
1631709019.918945,155494.000,25606,1,T0,1,100,28.848
1631709020.049200,155624.000,25625,1,T0,1,100,28.864
1631709020.179454,155754.000,25660,1,T0,1,100,28.869
1631709020.309709,155884.000,25678,1,T0,1,100,28.864
1631709020.440965,156015.000,25697,1,T0,1,100,28.869
1631709020.572222,156146.000,25732,1,T0,1,100,28.848
1631709020.703478,156277.000,25750,1,T0,1,100,28.842
1631709020.832731,156406.000,25769,1,T0,1,100,28.853
1631709020.963987,156537.000,25788,1,T0,1,100,28.864
1631709021.095244,156668.000,25823,1,T0,1,100,28.853
1631709021.226500,156799.000,25842,1,T0,1,100,28.826
1631709021.356755,156929.000,25860,1,T0,1,100,28.853
1631709021.487010,157059.000,25895,1,T0,1,100,28.848
1631709021.618266,157190.000,25914,1,T0,1,100,28.869
1631709021.749522,157321.000,25932,1,T0,1,100,28.842
1631709021.878775,157450.000,25952,1,T0,1,100,28.858
1631709022.010031,157581.000,25987,1,T0,1,100,28.875
1631709022.141288,157712.000,26005,1,T0,1,100,28.853
1631709022.273546,157844.000,26024,1,T0,1,100,28.832
1631709022.403801,157974.000,26059,1,T0,1,100,28.848
1631709022.534056,158104.000,26077,1,T0,1,100,28.864
1631709022.663308,158233.000,26101,1,T0,1,100,28.853
1631709022.795567,158365.000,26120,1,T0,1,100,28.832
1631709022.925821,158495.000,26139,1,T0,1,100,28.826
1631709023.057078,158626.000,26174,1,T0,1,100,28.821
1631709023.188334,158757.000,26192,1,T0,1,100,28.837
1631709023.320593,158889.000,26211,1,T0,1,100,28.875
1631709023.450847,159019.000,26229,1,T0,1,100,28.853
1631709023.581102,159149.000,26264,1,T0,1,100,28.848
1631709023.711356,159279.000,26283,1,T0,1,100,28.853
1631709023.843615,159411.000,26302,1,T0,1,100,28.832
1631709023.973869,159541.000,26337,1,T0,1,100,28.832
1631709024.105126,159672.000,26356,1,T0,1,100,28.832
1631709024.234379,159801.000,26374,1,T0,1,100,28.853
1631709024.366637,159933.000,26393,1,T0,1,100,28.869
1631709024.496891,160063.000,26428,1,T0,1,100,28.848
1631709024.627146,160193.000,26446,1,T0,1,100,28.842
1631709024.757401,160323.000,26465,1,T0,1,100,28.853
1631709024.889659,160455.000,26501,1,T0,1,100,28.853
1631709025.020916,160586.000,26519,1,T0,1,100,28.864
1631709025.151170,160716.000,26538,1,T0,1,100,28.864
1631709025.280423,160845.000,26573,1,T0,1,100,28.858
1631709025.411679,160976.000,26591,1,T0,1,100,28.826
1631709025.542936,161107.000,26610,1,T0,1,100,28.832
1631709025.673190,161237.000,26628,1,T0,1,100,28.848
1631709025.803445,161367.000,26664,1,T0,1,100,28.853
1631709025.933699,161497.000,26683,1,T0,1,100,28.875
1631709026.065958,161629.000,26701,1,T0,1,100,28.848
1631709026.196212,161759.000,26736,1,T0,1,100,28.848
1631709026.325465,161888.000,26755,1,T0,1,100,28.853
1631709026.456722,162019.000,26773,1,T0,1,100,28.864
1631709026.587978,162150.000,26792,1,T0,1,100,28.858
1631709026.718232,162280.000,26828,1,T0,1,100,28.858
1631709026.848487,162410.000,26846,1,T0,1,100,28.858
1631709026.978742,162540.000,26865,1,T0,1,100,28.842
